group,session,date,end_date,title,flag,deadline,lecture,quiz,content,lab,assignment,note
Week 8,Lecture 31,2026-03-17,,"JSP Directives, Standard Actions & Custom Tag Libraries",,,lectures/lecture-31,quiz/lecture-31-quiz,content/week-10,,,
Week 8,Lecture 32,2026-03-18,,Revision & Practical (Servlets + JSP),,,lectures/lecture-32,quiz/lecture-32-quiz,content/week-10,,,
Week 8,Lab 6,2026-03-18,,Servlet Authentication with Database Validation,,23:59:00,,,,labs/lab-06,,Submit before next session
Week 8,Home Assignment 3,2026-03-18,,Responsive Website,TRUE,23:59:00,,,,,assignment/03-assignment,Submission deadline
Week 9,Lecture 33,2026-03-19,,Spring Core Basics & Dependency Injection,,,lectures/lecture-33,quiz/lecture-33-quiz,content/week-11,,,
Week 9,Lecture 34,2026-03-20,,Design Patterns: Factory & Strategy,,,lectures/lecture-34,quiz/lecture-34-quiz,content/week-11,,,
Week 9,Lecture 35,2026-03-23,,"Spring IoC, Bean Scopes & Life Cycle Callbacks",,,lectures/lecture-35,quiz/lecture-35-quiz,content/week-11,,,
Week 9,Lecture 36,2026-03-24,,"AOP, Autowiring, Annotations, Bean Configuration Styles",,,lectures/lecture-36,quiz/lecture-36-quiz,content/week-11,,,
Week 9,Lecture 37,2026-03-25,,Revision & Hands-on (Spring Core),,,lectures/lecture-37,quiz/lecture-37-quiz,content/week-12,,,
Week 9,Lab 7,2026-03-25,,JSP Registration and CRUD with Session Management,,23:59:00,,,,labs/lab-07,,Submit before next session
Week 10,Lecture 38,2026-03-26,,"Spring Boot Configuration, Annotations & Build Systems",,,lectures/lecture-38,quiz/lecture-38-quiz,content/week-12,,,
Week 10,Lecture 39,2026-03-27,,"RESTful Web Services: Controllers, Request Mapping, CRUD APIs",,,lectures/lecture-39,quiz/lecture-39-quiz,content/week-12,,,
Week 10,Lecture 40,2026-03-30,,"Spring Boot Actuator, Logger, Web App Build & Final Revision",,,lectures/lecture-40,quiz/lecture-40-quiz,content/week-12,,,
Week 10,Lab 8,2026-04-01,,JDBC Retrieval and Spring Fundamentals,,23:59:00,,,,labs/lab-08,,Submit before next session
Week 11,Lab 9,2026-04-08,,REST Service and Spring Boot Web Application,,23:59:00,,,,labs/lab-09,,Submit before next session
Week 12,Final Project,2026-04-19,,Complete Web Application,TRUE,23:59:00,,,,,assignment/index,Submission deadline
